Year;Quarter;Unadjusted;X13 JDemetra+  seasonally adjusted;BV4.1 seasonally adjusted
1991;Quarter 1;307.911;320.179;318.891
1991;Quarter 2;326.412;332.166;330.762
1991;Quarter 3;333.784;332.733;334.089
1991;Quarter 4;356.603;339.635;340.521
1992;Quarter 1;340.604;354.104;352.044
1992;Quarter 2;347.525;353.327;352.449
1992;Quarter 3;358.218;356.955;357.861
1992;Quarter 4;376.920;358.882;360.004
1993;Quarter 1;343.973;358.012;356.466
1993;Quarter 2;356.250;362.063;362.018
1993;Quarter 3;364.684;363.153;363.575
1993;Quarter 4;383.416;365.096;365.767
1994;Quarter 1;358.400;373.047;371.109
1994;Quarter 2;366.220;372.198;372.511
1994;Quarter 3;378.167;376.202;376.900
1994;Quarter 4;399.323;380.663;381.312
1995;Quarter 1;372.218;387.179;385.316
1995;Quarter 2;381.819;388.087;388.797
1995;Quarter 3;391.446;388.926;389.137
1995;Quarter 4;408.983;390.272;389.327
1996;Quarter 1;376.559;391.649;392.824
1996;Quarter 2;384.507;390.954;391.286
1996;Quarter 3;398.485;395.455;394.890
1996;Quarter 4;418.098;399.588;396.870
1997;Quarter 1;374.608;389.538;393.445
1997;Quarter 2;396.047;402.924;402.445
1997;Quarter 3;407.047;403.718;403.076
1997;Quarter 4;426.941;408.466;405.995
1998;Quarter 1;392.303;407.539;409.911
1998;Quarter 2;400.978;408.107;408.207
1998;Quarter 3;415.655;411.587;412.085
1998;Quarter 4;433.132;414.836;413.432
1999;Quarter 1;399.184;414.319;413.697
1999;Quarter 2;410.587;418.183;418.508
1999;Quarter 3;423.898;419.378;421.106
1999;Quarter 4;443.984;425.771;426.877
2000;Quarter 1;416.835;431.971;427.685
2000;Quarter 2;418.659;426.861;427.210
2000;Quarter 3;429.614;424.559;426.616
2000;Quarter 4;447.095;428.812;431.159
2001;Quarter 1;426.664;441.288;437.082
2001;Quarter 2;427.668;435.919;438.078
2001;Quarter 3;444.940;439.421;439.488
2001;Quarter 4;462.970;445.614;444.584
2002;Quarter 1;424.052;438.155;438.194
2002;Quarter 2;430.344;438.698;442.360
2002;Quarter 3;454.378;448.772;446.363
2002;Quarter 4;462.438;445.587;443.555
2003;Quarter 1;427.726;441.536;442.685
2003;Quarter 2;430.346;438.656;441.360
2003;Quarter 3;453.379;448.190;446.380
2003;Quarter 4;468.548;451.618;450.527
2004;Quarter 1;447.077;461.082;462.266
2004;Quarter 2;457.182;465.325;464.748
2004;Quarter 3;469.312;464.941;465.113
2004;Quarter 4;487.494;469.718;468.858
2005;Quarter 1;446.003;459.680;462.149
2005;Quarter 2;465.209;474.231;470.813
2005;Quarter 3;476.372;472.381;474.135
2005;Quarter 4;496.267;477.557;477.525
2006;Quarter 1;474.945;488.484;488.256
2006;Quarter 2;486.468;497.288;494.223
2006;Quarter 3;501.747;498.027;500.446
2006;Quarter 4;529.714;509.078;510.790
2007;Quarter 1;505.147;517.631;516.444
