Year;Month;number
2003;January;27942
2003;February;25298
2003;March;24268
2003;April;21528
2003;May;20207
2003;June;19227
2003;July;19710
2003;August;17496
2003;September;17923
2003;October;18880
2003;November;17790
2003;December;24583
2004;January;26935
2004;February;26236
2004;March;26209
2004;April;18978
2004;May;17490
2004;June;17548
2004;July;15767
2004;August;16037
2004;September;15071
2004;October;15097
2004;November;14982
2004;December;17165
2005;January;17546
2005;February;16268
2005;March;16971
2005;April;16143
2005;May;15435
2005;June;16575
2005;July;15660
2005;August;16894
2005;September;16170
2005;October;14910
2005;November;16001
2005;December;20318
2006;January;22502
2006;February;20550
2006;March;22005
2006;April;17259
2006;May;17957
2006;June;16048
2006;July;16337
2006;August;16276
2006;September;14265
2006;October;13629
2006;November;12219
2006;December;12143
2007;January;10139
2007;February;9796
2007;March;11623
2007;April;12104
2007;May;13212
2007;June;12536
2007;July;13321
2007;August;12820
2007;September;11778
2007;October;11953
2007;November;11023
2007;December;11061
2008;January;9703
2008;February;10531
2008;March;10296
2008;April;13039
2008;May;11584
2008;June;12738
2008;July;12937
2008;August;11132
2008;September;10998
2008;October;11336
2008;November;9305
2008;December;10054
2009;January;8834
2009;February;8508
2009;March;10624
2009;April;11248
2009;May;11439
2009;June;12188
2009;July;13477
2009;August;12448
2009;September;12397
2009;October;12767
2009;November;11033
2009;December;11086
2010;January;8305
2010;February;9131
2010;March;11535
2010;April;10731
2010;May;11775
2010;June;13516
2010;July;14047
2010;August;13855
2010;September;12820
2010;October;12806
2010;November;11501
2010;December;10907
2011;January;10268
2011;February;11302
2011;March;14608
2011;April;13491
2011;May;15776
2011;June;14117
2011;July;14367
2011;August;14349
2011;September;12957
2011;October;13247
2011;November;12382
2011;December;14604
2012;January;9512
2012;February;10198
2012;March;13762
2012;April;12647
2012;May;15678
2012;June;15899
2012;July;15714
2012;August;15212
2012;September;13695
2012;October;12884
2012;November;11868
2012;December;11560
2013;January;11002
2013;February;11322
2013;March;13110
2013;April;15145
2013;May;14432
2013;June;14894
2013;July;17093
2013;August;14854
2013;September;14362
2013;October;13935
2013;November;11997
2013;December;12271
2014;January;11943
2014;February;11960
2014;March;13384
2014;April;14350
2014;May;15025
2014;June;14587
2014;July;16020
2014;August;13742
2014;September;13805
2014;October;14265
2014;November;12063
2014;December;12700
2015;January;11184
2015;February;11290
2015;March;14613
2015;April;14787
2015;May;14337
2015;June;16135
2015;July;17212
2015;August;16370
2015;September;15516
2015;October;15691
2015;November;13269
2015;December;15546
2016;January;14153
2016;February;14367
2016;March;15939
2016;April;16721
2016;May;15611
2016;June;16741
2016;July;16186
2016;August;15619
2016;September;15029
2016;October;14483
2016;November;14276
2016;December;15813
2017;January;11962
2017;February;12555
2017;March;15464
2017;April;14203
2017;May;16440
2017;June;15937
2017;July;16292
2017;August;15889
2017;September;14188
2017;October;14299
2017;November;13300
2017;December;15212
2018;January;12765
2018;February;12344
2018;March;14409
2018;April;15139
2018;May;15207
2018;June;15856
2018;July;17439
2018;August;15041
2018;September;14167
2018;October;13991
2018;November;13296
2018;December;13942
2019;January;13368
2019;February;12703
2019;March;14030
2019;April;14888
2019;May;15811
2019;June;14372
2019;July;16936
2019;August;15467
2019;September;14997
2019;October;15496
2019;November;14064
2019;December;14548
2020;January;13296
2020;February;12734
2020;March;14929
2020;April;15543
2020;May;15045
2020;June;16981
2020;July;17371
2020;August;15690
2020;September;15919
2020;October;16625
2020;November;16673
2020;December;16184
2021;January;15013
2021;February;15964
2021;March;22509
2021;April;15897
2021;May;16087
2021;June;18139
2021;July;17332
2021;August;17033
2021;September;15817
2021;October;15338
2021;November;14949
2021;December;17074
2022;January;14587
2022;February;14643
2022;March;16905
2022;April;15001
2022;May;16257
2022;June;15576
2022;July;15623
2022;August;14558
2022;September;14038
2022;October;12552
2022;November;12434
2022;December;13018
2023;January;11361
2023;February;10522
2023;March;12004
2023;April;9868
2023;May;11224
2023;June;11327
2023;July;10550
2023;August;10189
2023;September;9905
2023;October;9609
2023;November;9101
2023;December;8572
2024;January;8103
